"ARMY PUBLIC SCHOOL ITARANA, ALWAR",,,,,,,,,,,,,,,,,,,,,,,,,,
"
Ser No",Class,Cat,FEES STRUCTURE FOR  (2024-25) WEF 01 APR 2025,,,,,,,,,,,,,,,,,,,,Old Adm Fee for Q1,New Adm Fee for Q1,Total Annual Fee for Old Students,Total Annual Fee for New Students
,,,One Time Fees (at the time of New Adm),,,Total,Annual Charges (One time fees for a Academic Year),,,,,,,,Total,Monthly Fees,,,,,Total,Qtly Fee (03 x Monthly Fee),,,,
,,,(a),(b),(c) ,,(d),(e),(f),(g),(h),,(j),(k),,(l),(m),(n),(o),(p),,,,,,
,,,Reg Fee,"Adm.
Fee","Security
Deposit",,Library fee,Building fee,Examination fee,Sports fee,Play Way fee,Digicamp Fees,Devlop Fee,AWES Gp Insurance fee,,"Tution
fee","Pupil
fee","Comp.
fee Incl Smat Class","Science
Fee",Conv. Fee,,,,,,
1,Nur to UKG,OR,500.00 ,600.00 ,3000.00 ,4100.00,336.00,552.00,204.00,204.00,504.00,165.00,500.00,135.00,2600.00,1695.00,540.00,300.00,0.00,0.00,2535.00,7605.00,10205.00,14305.00,33020.00,37120.00
2,1 to 5,OR,500.00,600.00,3000.00,4100.00,345.00,345.00,458.00,345.00,500.00,165.00,550.00,135.00,2843.00,1795.00,448.00,387.00,0.00,0.00,2630.00,7890.00,10733.00,14833.00,34403.00,38503.00
3,6 to 8,OR,500.00,600.00,3000.00,4100.00,528.00,630.00,458.00,492.00,0.00,165.00,550.00,135.00,2958.00,2161.00,448.00,387.00,0.00,0.00,2996.00,8988.00,11946.00,16046.00,38910.00,43010.00
4,9 to 10,OR,500.00,600.00,3000.00,4100.00,528.00,630.00,458.00,492.00,0.00,165.00,550.00,135.00,2958.00,2161.00,448.00,387.00,154.00,0.00,3150.00,9450.00,12408.00,16508.00,40758.00,44858.00
5,11 to 12 SCI,OR,500.00,600.00,3000.00,4100.00,528.00,630.00,458.00,492.00,0.00,165.00,550.00,135.00,2958.00,2524.00,448.00,387.00,220.00,0.00,3579.00,10737.00,13695.00,17795.00,45906.00,50006.00
6,11 to 12 H & C,OR,500.00,600.00,3000.00,4100.00,528.00,630.00,458.00,492.00,0.00,165.00,550.00,135.00,2958.00,2524.00,448.00,387.00,0.00,0.00,3359.00,10077.00,13035.00,17135.00,43266.00,47366.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nur to UKG,JCO,500.00,1050.00,4000.00,5550.00,336.00,600.00,204.00,204.00,504.00,165.00,500.00,135.00,2648.00,1704.00,540.00,300.00,0.00,0.00,2544.00,7632.00,10280.00,15830.00,33176.00,38726.00
